,Track name,Artist name,Track uri,Popularity,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Key,Track type,sentiment,sentiment score
0,,,spotify:track:5igKYrnMvlFQsUCBKQZrk5,0,0.825,0.967,-6.3,0.0,0.0582,0.116,0.0,0.101,0.807,129.982,248842.0,1.0,Punjabi,None,0.0
1,,,spotify:track:6DTaVOlpxrjuGJSwNB8Kg6,0,0.856,0.759,-9.067,1.0,0.037,0.0715,6.46e-05,0.36,0.646,111.968,266240.0,8.0,Telugu,None,0.0
2,"""O"" - 正.反.合. (Rearranged)",TVXQ!,spotify:track:26XKyMqXPg4w2DhJRTZ3jP,0,0.679,0.938,-4.891,1.0,0.0646,0.0262,6.34e-06,0.959,0.46,115.01,334974.0,0.0,K-pop,Negative,24.81
3,#1,Aphex Twin,spotify:track:35NyjYJFaJxqbUF2y0jWl1,47,0.619,0.0327,-20.273,0.0,0.0371,0.995,0.712,0.0865,0.0785,102.884,447800.0,10.0,Student,None,0.0
4,#Peg Pugg,Deep Karan,spotify:track:3r8BUzdry4UNYZnjSQAgM7,38,0.719,0.911,-3.012,1.0,0.0869,0.489,0.0,0.0592,0.873,83.058,199224.0,1.0,Punjabi,None,0.0
5,#tb,015B,spotify:track:3OboGw2I8oYsEHeCrZ7NLT,46,0.738,0.414,-5.756,1.0,0.0323,0.531,0.0,0.0893,0.245,97.456,275200.0,6.0,K-pop,None,0.0
6,'02 Thicke,Shalom Dubas,spotify:track:2sRjnBaOxeLL6QEL4SdyX2,21,0.366,0.619,-8.164,0.0,0.141,0.708,1.65e-06,0.12,0.698,177.722,122449.0,6.0,RADAR,None,0.0
7,'74-'75,The Connells,spotify:track:2MAVcVr2oylw2OZ3hojWYj,64,0.53,0.59,-9.169,1.0,0.025,0.183,0.00227,0.0675,0.43,144.202,278973.0,11.0,Decades,Negative,63.839999999999996
8,(Boliyan) Geetan Da Guldasta,Surjit Bindrakhia,spotify:track:5PBB2DjqraVp7tdPlaZyD2,28,0.55,0.736,-7.28,0.0,0.133,0.659,0.000124,0.215,0.918,93.712,298251.0,9.0,Punjabi,Neutral,0.0
9,(Do U Feel?) - Akasha System Remix,At Dawn,spotify:track:1zUU7IEuZLS9fQ34hjBE89,56,0.675,0.651,-9.69,0.0,0.0384,0.0603,0.884,0.0692,0.168,111.998,317205.0,1.0,Instrumental,Neutral,0.0
10,(Everything I Do) I Do It For You,Bryan Adams,spotify:track:1Eb90nmqTrxylKFhcUzW8P,76,0.533,0.36,-12.633,1.0,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,393640.0,1.0,Decades,Negative,34.68
11,(Feels Like) Heaven,Fiction Factory,spotify:track:41Laec0pItedzpw2D8HWYp,58,0.541,0.822,-10.978,1.0,0.049,0.214,0.00314,0.0521,0.719,116.659,213960.0,3.0,Decades,Positive,70.5
